80B66AA8	298
7DA5AC72	173
7778EF61	166
7D9FDD83	175
80FD90CB	162
81757137	396
7F21F811	2093
76C2D1EA	341
7CF54808	743
7D1D1375	723
7985CEA1	459
86351791	179
7E2ABDD0	215
7EFAC52B	180
8031E3C3	213
8012A972	205
790EB26B	515
7689A075	207
7DFD496F	1113
5EFBA3F5	182
5EC87EF0	206
8145AEEA	170
803EB3CE	265
7B7F947F	186
585D77D3	156
7E9F8F3F	3635
76345ABB	286
05E71E2D	389
80FEFFB6	211
58F88ACC	219
7F321C50	4592
812C5F5F	162
788A3174	249
7D80386B	275
75208D1E	279
79E41274	223
5E62F571	158
7EA5FCF7	695
7D711159	175
059D641A	270
7DCD3875	211
81A58B75	326
7EBE2011	223
7DBE7BCA	310
782C2780	158
809A55C2	556
01CE8F2B	176
76DD0B4A	187
7D74CD14	344
7683828B	221
7D3B9154	187
8107508C	224
7D6FC1B1	208
7665E6F7	192
7F3261B3	171
794D547B	224
80708380	676
75F07DFA	261
7F26E9F3	198
79FFC3D5	871
7DF7133F	315
7D3A5AC4	164
810F7CE3	523
77999307	161
7F8D7E3A	249
7B2EE573	238
60925BB1	547
5FBA827B	241
808B98BF	253
816F1646	266
7D34E5AC	292
81301B7A	210
787EB91C	158
80B5131A	152
68C3859B	253
8021432D	200
7FFCD53C	287
790945CB	197
7F0D1E9C	257
80CDC4D9	208
5E01B075	233
8178EE71	321
80402792	176
7CFB5B0D	213
802443E4	157
7EE78F03	182
79D81EE3	480
80E1E703	392
80C43956	176
80A358D5	230
5D86EC4A	157
76388A76	155
7F933541	284
81719B17	225
81EDC6AA	210
5FA6CA53	158
80F0FEDD	311
7CFF6839	328
8630506C	158
7E4BD234	189
8046C672	7008
8166FB41	157
773CCE57	928
7842A87C	390
790B31C3	171
7A928CF9	235
78655A9D	189
81749C3B	369
7602626F	150
7D4C96B9	289
7D780AAD	200
7FE3D880	523
5DD1CE54	257
7E89D572	1521
7E1E5CAD	786
7E95A027	283
7D41C4FB	156
79B9125B	261
79825579	227
615FAB17	207
7C0499ED	182
8134009F	165
79755464	402
7F068C05	325
7BA22D0E	183
7D3A2C36	172
7F2A6B73	463
80DE0F92	220
778CEFB6	480
7F22BFC3	152
7C0A58C0	266
7761916A	189
5FCEAFE1	184
7D2367AB	151
75F5017B	261
81739971	165
7DA478DE	254
727AC80C	179
7E986B7F	181
80809E8C	494
7600BD57	361
7B309A4D	251
7D7CAF81	179
777F7C86	206
84326A9D	1261
80180039	154
80E8E6AE	172
5C10509B	162
5CFD5936	597
8010FBBF	400
8038B436	194
7E0CC7E8	654
7B0C9B6B	313
7FD29DAD	228
80DF1E00	296
7F09F59C	336
80B31354	248
81634ABA	351
80FAF1B5	150
7F2CDB19	171
812FD753	1395
7BD0ADBA	233
7FFA6D46	1165
7ECBF2DD	200
7BA37E4B	167
76C60499	160
6F01F1F4	253
80DCFDD8	154
7C72CEC1	209
80299D57	155
7FBAC97D	200
7FC18ED2	403
7C3B0728	166
80310CCE	150
7EA95A0D	421
7AE6DA33	297
81185D22	167
7CF8F77D	328
85AB8E7E	300
8024A9ED	245
63C65319	545
6C9E66DE	262
7FF528EF	248
80FEF5D2	908
7E9A1F88	419
7F5AE71C	397
797A4BF1	151
78F7A328	168
5CDAA5B6	186
7D34D180	152
674DF56C	277
77FB0FB8	194
7F6D81E1	150
75C3453C	175
7D292854	201
814FDEF1	213
79AFEA9D	196
81673F30	264
771A7AA5	306
7F74A581	237
78B9CBAB	171
812B5875	214
80FBAAFF	625
77F48EC4	312
846F3B06	376
761D3C1F	391
816E04F7	179
7887CE86	715
7F6F5038	955
7D2969C2	151
7D4B1256	222
75A1E7CD	193
7F1348E3	215
5AAF5492	176
79605C96	394
8049D71D	539
7608705D	162
7D8BD804	353
7D794C10	190
