PLDI	0.291333	1.000000	0.000000
KDD	0.000000	1.000000	0.663167
Proc.IEEE	1.000000	0.000000	0.366667
TKDE	0.000000	1.000000	0.663167
SIGIR	0.000000	1.000000	0.663167
IJCV	0.707833	0.000000	1.000000
STOC	0.000000	0.920000	1.000000
TOCS	1.000000	0.380000	0.000000
ICCV	0.707833	0.000000	1.000000
AAAI	0.707833	0.000000	1.000000
SIGMOD	0.000000	1.000000	0.663167
TIT	0.000000	0.920000	1.000000
ASPLOS	1.000000	0.380000	0.000000
POPL	0.291333	1.000000	0.000000
SOSP	0.291333	1.000000	0.000000
ICSE	0.291333	1.000000	0.000000
CRYPTO	0.750667	1.000000	0.000000
NIPS	0.707833	0.000000	1.000000
IANDC	0.000000	0.920000	1.000000
TOCHI	1.000000	0.000000	0.747833
TMC	1.000000	0.775833	0.000000
JACM	1.000000	0.000000	0.366667
AI	0.707833	0.000000	1.000000
CHI	1.000000	0.000000	0.747833
TPDS	1.000000	0.380000	0.000000
ICDE	0.000000	1.000000	0.663167
CCS	0.750667	1.000000	0.000000
TOIS	0.000000	1.000000	0.663167
SICOMP	0.000000	0.920000	1.000000
TODS	0.000000	1.000000	0.663167
PPoPP	1.000000	0.380000	0.000000
TON	1.000000	0.775833	0.000000
ISCA	1.000000	0.380000	0.000000
ACL	0.707833	0.000000	1.000000
JournalofCryptology	0.750667	1.000000	0.000000
LICS	0.000000	0.920000	1.000000
TOPLAS	0.291333	1.000000	0.000000
TDSC	0.750667	1.000000	0.000000
ASE	0.291333	1.000000	0.000000
EUROCRYPT	0.750667	1.000000	0.000000
CAV	0.000000	0.920000	1.000000
MOBICOM	1.000000	0.775833	0.000000
JSAC	1.000000	0.775833	0.000000
CVPR	0.707833	0.000000	1.000000
TSE	0.291333	1.000000	0.000000
S&P	0.750667	1.000000	0.000000
IJCAI	0.707833	0.000000	1.000000
JMLR	0.707833	0.000000	1.000000
SIGGRAPH	0.000000	0.484500	1.000000
UbiComp	1.000000	0.000000	0.747833
TVCG	0.000000	0.484500	1.000000
HPCA	1.000000	0.380000	0.000000
TOS	1.000000	0.380000	0.000000
FOCS	0.000000	0.920000	1.000000
SIGCOMM	1.000000	0.775833	0.000000
OSDI	0.291333	1.000000	0.000000
RTSS	1.000000	0.000000	0.366667
VR	0.000000	0.484500	1.000000
TOC	1.000000	0.380000	0.000000
VLDB	0.000000	1.000000	0.663167
ICML	0.707833	0.000000	1.000000
TIP	0.000000	0.484500	1.000000
TOSEM	0.291333	1.000000	0.000000
MICRO	1.000000	0.380000	0.000000
WWW	1.000000	0.000000	0.366667
OOPSLA	0.291333	1.000000	0.000000
INFOCOM	1.000000	0.775833	0.000000
CSCW	1.000000	0.000000	0.747833
