338	38.69	82.99	159.79	200.92	293.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	29.09	61.67	93.99	159.79	190.98	263.36	307.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	22.8	46.55	74.96	102.52	159.79	184.8	210.93	282.47	315.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	18.08	38.69	61.67	82.99	125.45	159.79	180.44	200.92	263.36	293.55	319.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	13.65	33.25	50.49	71.42	89.23	136.32	159.79	177.11	195.47	217.12	277.79	301.59	322.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	9.24	29.09	43.33	61.67	78.02	93.99	140.66	159.79	174.81	190.98	206.86	263.36	286.75	307.12	324.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	3.57	25.68	38.69	52.93	69.31	82.99	98.3	143.46	159.79	173.21	187.5	200.92	222.12	274.9	293.55	311.59	326.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	354.55	22.8	34.8	46.55	61.67	74.96	87.25	102.52	145.48	159.79	171.7	184.8	197.1	210.93	263.36	282.47	299.03	315.13	327.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	351.28	20.4	31.76	42.02	54.41	67.99	79.32	90.85	109.65	146.77	159.79	170.56	182.6	193.87	205.21	227.08	273.06	288.64	303.55	317.86	328.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	349.43	18.08	29.09	38.69	48.83	61.67	72.98	82.99	93.99	125.45	147.94	159.79	169.68	180.44	190.98	200.92	214.17	263.36	279.91	293.55	307.12	319.71	329.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	348.06	15.81	26.69	35.7	44.54	55.36	67.05	76.95	86.33	96.93	132.68	149.03	159.79	168.83	178.45	188.59	197.88	208.33	232.54	271.73	285.09	297.68	310.13	321.3	330.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	347.06	13.65	24.73	33.25	41.35	50.49	61.67	71.42	80.07	89.23	99.57	136.32	149.88	159.79	168.13	177.11	186.48	195.47	204.19	217.12	263.36	277.79	289.67	301.59	312.86	322.66	330.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	346.3	11.49	22.8	31.02	38.69	46.55	56.1	66.36	74.96	82.99	91.68	102.52	138.84	150.59	159.79	167.59	175.85	184.8	193.14	200.92	210.93	245.41	270.74	282.47	293.55	304.6	315.13	323.92	331.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	345.66	9.24	21.16	29.09	36.29	43.33	51.84	61.67	70.25	78.02	85.76	93.99	106.71	140.66	151.23	159.79	167.13	174.81	183.29	190.98	198.39	206.86	219.77	263.36	276.16	286.75	296.91	307.12	317.09	324.96	331.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	345.09	6.8	19.62	27.26	34.15	40.93	48.13	56.65	65.87	73.59	80.55	88.05	96.18	113.59	142.16	151.78	159.79	166.73	173.98	181.91	189.15	196.48	203.59	213.2	250.95	269.99	280.7	290.33	300.14	309.39	318.51	325.8	331.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338	344.57	3.57	18.08	25.68	32.37	38.69	45.11	52.93	61.67	69.31	76.43	82.99	90.22	98.3	125.45	143.46	152.26	159.79	166.36	173.21	180.44	187.5	194.48	200.92	209.05	222.12	263.36	274.9	284.34	293.55	302.75	311.59	319.71	326.54	332.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
